uniqueID,TP.units,TP.value,TN.units,TN.value,PO4.units,PO4.value,NO3NO2.units,NO3NO2.value,DOC.units,DOC.value,DO.units,DO.value,NH3.units,NH3.value
V100008000,mg/L,0.13565,mg/L,1.533,,,,,,,,,,
V100008001,mg/L,0.057,mg/L,0.5605,,,,,,,,,,
V100008003,mg/L,0.013,mg/L,0.689,,,,,,,,,,
V100008005,mg/L,0.01518,,,,,,,,,,,,
V100008007,mg/L,0.01053,mg/L,0.16946,,,,,,,,,,
V100008008,mg/L,0.025,mg/L,0.448,,,,,,,,,,
V100008009,mg/L,0.029,,,,,,,,,,,,
V100008010,mg/L,0.03841,mg/L,0.491,,,,,,,,,,
V100008011,,,mg/L,0.251,,,,,,,,,,
V100008014,mg/L,0.011,mg/L,0.227,,,,,,,,,,
V100008015,mg/L,0.03273,,,,,,,,,,,,
V100008016,,,mg/L,1.074,,,,,,,,,,
V100008018,mg/L,0.024,mg/L,0.531,,,,,,,,,,
V100008019,,,mg/L,2.77467,,,,,,,,,,
V100008022,mg/L,0.0295,mg/L,0.7825,,,,,,,,,,
V100008027,mg/L,0.0306,mg/L,0.625,,,,,,,,,,
V100008030,mg/L,0.019,mg/L,0.643,,,,,,,,,,
V100008031,mg/L,0.0565,mg/L,2.0915,,,,,,,,,,
V100008033,mg/L,0.008,mg/L,0.346,,,,,,,,,,
V100008034,mg/L,0.025,mg/L,0.7965,,,,,,,,,,
V100008036,mg/L,0.019,mg/L,0.516,,,,,,,,,,
V100008040,,,mg/L,0.46767,,,,,,,,,,
V100008042,mg/L,0.01078,,,,,,,,,,,,
V100008043,mg/L,0.07712,mg/L,0.99471,,,,,,,,,,
V100008044,mg/L,0.05053,mg/L,1.358,,,,,,,,,,
V100008046,,,mg/L,0.709,,,,,,,,,,
V100008048,mg/L,0.019,mg/L,0.519,,,,,,,,,,
V100008052,mg/L,0.578,mg/L,1.999,,,,,,,,,,
V100008053,mg/L,0.016,mg/L,0.622,,,,,,,,,,
V100008054,mg/L,0.011,mg/L,0.35,,,,,,,,,,
V100008057,mg/L,0.02017,mg/L,0.54826,,,,,,,,,,
V100008059,mg/L,0.013,mg/L,0.395,,,,,,,,,,
V100008061,mg/L,0.029,mg/L,0.702,,,,,,,,,,
V100008064,mg/L,0.005,,,,,,,,,,,,
V100008067,mg/L,0.021,,,,,,,,,,,,
V100008068,mg/L,0.006,mg/L,0.232,,,,,,,,,,
V100008069,mg/L,0.221,mg/L,0.471,,,,,,,,,,
V100008070,mg/L,0.01,mg/L,0.427,,,,,,,,,,
V100008072,mg/L,0.062,mg/L,1.369,,,,,,,,,,
V100008074,mg/L,0.007,mg/L,0.372,,,,,,,,,,
V100008078,mg/L,0.082,mg/L,1.652,,,,,,,,,,
V100008079,mg/L,0.006,mg/L,0.485,,,,,,,,,,
V100008081,mg/L,0.031,mg/L,0.471,,,,,,,,,,
V100008083,mg/L,0.029,mg/L,0.464,,,,,,,,,,
V100008084,mg/L,0.035,mg/L,0.557,,,,,,,,,,
V100008085,mg/L,0.018,mg/L,0.564,,,,,,,,,,
V100008088,mg/L,0.054,mg/L,0.969,,,,,,,,,,
V100008090,mg/L,0.01,mg/L,0.276,,,,,,,,,,
V100008091,mg/L,0.03557,,,,,,,,,,,,
V100008092,mg/L,0.013,mg/L,0.473,,,,,,,,,,
V100008094,mg/L,0.071,mg/L,1.14,,,,,,,,,,
V100008096,mg/L,0.029,mg/L,1.004,,,,,,,,,,
V100008099,mg/L,0.01,mg/L,0.313,,,,,,,,,,
V100008103,mg/L,0.0125,,,,,,,,,,,,
V100008105,mg/L,0.0125,mg/L,0.3135,,,,,,,,,,
V100008107,mg/L,0.017,mg/L,0.658,,,,,,,,,,
V100008108,,,mg/L,0.2823,,,,,,,,,,
V100008110,mg/L,0.014,,,,,,,,,,,,
V100008112,mg/L,0.068,mg/L,0.985,,,,,,,,,,
V100008116,mg/L,0.021,mg/L,1.5225,,,,,,,,,,
V100008117,mg/L,0.017,mg/L,0.275,,,,,,,,,,
V100008118,mg/L,0.02229,,,,,,,,,,,,
V100008119,mg/L,0.008,mg/L,0.281,,,,,,,,,,
V100008122,mg/L,0.0585,,,,,,,,,,,,
V100008125,mg/L,0.024,mg/L,0.399,,,,,,,,,,
V100008127,mg/L,0.088,mg/L,2.757,,,,,,,,,,
V100008128,mg/L,0.057,mg/L,0.928,,,,,,,,,,
V100008129,mg/L,0.011,mg/L,0.461,,,,,,,,,,
V100008130,mg/L,0.028,mg/L,0.717,,,,,,,,,,
V100008131,,,mg/L,0.46556,,,,,,,,,,
V100008133,,,mg/L,0.653,,,,,,,,,,
V100008135,mg/L,0.005,mg/L,1.205,,,,,,,,,,
V100008136,mg/L,0.107,mg/L,1.1363,,,,,,,,,,
V100008137,mg/L,0.107,mg/L,1.129,,,,,,,,,,
V100008139,mg/L,0.03162,mg/L,0.66077,,,,,,,,,,
V100008143,,,mg/L,1.2963,,,,,,,,,,
V100008144,mg/L,0.0025,mg/L,0.255,,,,,,,,,,
V100008148,mg/L,0.1315,,,,,,,,,,,,
V100008149,mg/L,0.032,mg/L,0.3999,,,,,,,,,,
V100008151,mg/L,0.0105,,,,,,,,,,,,
V100008153,mg/L,0.031,mg/L,1.98,,,,,,,,,,
V100008154,mg/L,0.02,mg/L,1.5105,,,,,,,,,,
V100008156,mg/L,0.061,mg/L,1.072,,,,,,,,,,
V100008157,mg/L,0.113,mg/L,2.039,,,,,,,,,,
V100008158,mg/L,0.01,mg/L,0.8,,,,,,,,,,
V100008168,mg/L,0.021,mg/L,0.703,,,,,,,,,,
V100008170,mg/L,0.008,mg/L,0.485,,,,,,,,,,
V100008176,mg/L,0.00875,,,,,,,,,,,,
V100008180,mg/L,0.1325,mg/L,1.061,,,,,,,,,,
V100008185,mg/L,0.0245,mg/L,0.836,,,,,,,,,,
V100008187,mg/L,0.041,mg/L,0.752,,,,,,,,,,
V100008190,mg/L,0.018,mg/L,1.185,,,,,,,,,,
V100008192,mg/L,0.016,mg/L,0.443,,,,,,,,,,
V100008193,mg/L,0.03,mg/L,0.476,,,,,,,,,,
V100008199,mg/L,0.03542,,,,,,,,,,,,
V100008200,mg/L,0.0165,,,,,,,,,,,,
V100008201,mg/L,0.02517,,,,,,,,,,,,
V100008202,mg/L,0.3631,,,,,,,,,,,,
V100008203,mg/L,0.0292,,,,,,,,,,,,
V100008204,mg/L,0.01328,,,,,,,,,,,,
V100008205,mg/L,0.126,mg/L,1.01167,,,,,,,,,,
V100008209,mg/L,0.02257,,,,,,,,,,,,
V100008212,mg/L,0.01852,,,,,,,,,,,,
V100008213,mg/L,0.02174,,,,,,,,,,,,
V100008214,mg/L,0.0184,,,,,,,,,,,,
V100008215,mg/L,0.077,mg/L,1.59,,,,,,,,,,
V100008216,mg/L,0.01933,,,,,,,,,,,,
V100008217,mg/L,0.03667,,,,,,,,,,,,
V100008218,mg/L,0.07554,,,,,,,,,,,,
V100008219,mg/L,0.029,,,,,,,,,,,,
V100008220,mg/L,0.21767,,,,,,,,,,,,
V100008221,mg/L,0.09963,,,,,,,,,,,,
V100008222,mg/L,0.01744,,,,,,,,,,,,
V100008224,mg/L,0.021,,,,,,,,,,,,
V100008225,mg/L,0.01,,,,,,,,,,,,
V100008226,mg/L,0.024,,,,,,,,,,,,
V100008227,mg/L,0.016,,,,,,,,,,,,
V100008228,mg/L,0.015,mg/L,0.771,,,,,,,,,,
V100008229,mg/L,0.06473,,,,,,,,,,,,
V100008230,mg/L,0.00806,,,,,,,,,,,,
V100008231,mg/L,0.113,mg/L,0.91,,,,,,,,,,
V100008232,mg/L,0.0325,,,,,,,,,,,,
V100008234,mg/L,0.01964,,,,,,,,,,,,
V100008235,mg/L,0.029,,,,,,,,,,,,
V100008236,mg/L,0.01269,,,,,,,,,,,,
V100008238,mg/L,0.15567,,,,,,,,,,,,
V100008240,mg/L,0.09114,,,,,,,,,,,,
V100008246,mg/L,0.01156,,,,,,,,,,,,
V100008251,mg/L,0.03117,,,,,,,,,,,,
V100008252,mg/L,0.015,,,,,,,,,,,,
V100008253,mg/L,0.02,,,,,,,,,,,,
V100008254,mg/L,0.0105,,,,,,,,,,,,
V100008255,mg/L,0.01158,,,,,,,,,,,,
V100008257,mg/L,0.164,,,,,,,,,,,,
V100008258,mg/L,0.0375,,,,,,,,,,,,
V100008261,mg/L,0.02005,,,,,,,,,,,,
V100008262,mg/L,0.10567,mg/L,0.98889,,,,,,,,,,
V100008264,mg/L,0.03267,mg/L,0.88667,,,,,,,,,,
V100008265,mg/L,0.033,,,,,,,,,,,,
V100008266,mg/L,0.009,mg/L,0.12667,,,,,,,,,,
V100008267,mg/L,0.019,,,,,,,,,,,,
V100008268,mg/L,0.011,,,,,,,,,,,,
V100008269,mg/L,0.02385,,,,,,,,,,,,
V100008270,mg/L,0.09514,,,,,,,,,,,,
V100008271,mg/L,0.063,mg/L,1.117,,,,,,,,,,
V100008272,mg/L,0.0113,,,,,,,,,,,,
V100008273,mg/L,0.0107,,,,,,,,,,,,
V100008274,mg/L,0.01552,,,,,,,,,,,,
V100008275,mg/L,0.01161,,,,,,,,,,,,
V100008276,mg/L,0.13366,,,,,,,,,,,,
V100008277,mg/L,0.09807,,,,,,,,,,,,
V100008279,mg/L,0.01,,,,,,,,,,,,
V100008280,mg/L,0.13176,,,,,,,,,,,,
V100008281,mg/L,0.01378,mg/L,0.44918,,,,,,,,,,
V100008282,mg/L,0.019,,,,,,,mg/L,0.0064,,,,
V100008284,mg/L,0.025,,,,,,,,,,,,
V100008285,mg/L,0.0952,,,,,,,,,,,,
V100008286,mg/L,0.03,,,,,,,,,,,,
V100008288,mg/L,0.022,mg/L,0.454,,,,,,,,,,
V100008289,mg/L,0.014,,,,,,,,,,,,
V100008291,mg/L,0.02245,,,,,,,,,,,,
V100008292,mg/L,0.01731,,,,,,,,,,,,
V100008293,mg/L,0.15778,,,,,,,,,,,,
V100008294,mg/L,0.05209,,,,,,,,,,,,
V100008296,mg/L,0.28816,,,,,,,,,,,,
V100008297,mg/L,0.01664,,,,,,,,,,,,
V100008299,mg/L,0.023,,,,,,,,,,,,
V100008302,mg/L,0.02853,,,,,,,,,,,,
V100008304,mg/L,0.035,,,,,,,,,,,,
V100008305,mg/L,0.01462,,,,,,,,,,,,
V100008306,mg/L,0.068,mg/L,0.5777,,,,,,,,,,
V100008307,mg/L,0.03841,mg/L,0.547,,,,,,,,,,
V100008308,mg/L,0.0122,,,,,,,,,,,,
V100008309,mg/L,0.0276,,,,,,,,,,,,
V100008311,mg/L,0.05067,,,,,,,,,,,,
V100008312,mg/L,0.02,,,,,,,,,,,,
V100008314,mg/L,0.095,,,,,,,,,,,,
V100008315,mg/L,0.0166,,,,,,,,,,,,
V100008316,mg/L,0.02867,,,,,,,,,,,,
V100008317,mg/L,0.01567,,,,,,,,,,,,
V100008318,mg/L,0.01132,,,,,,,,,,,,
V100008319,mg/L,0.0114,,,,,,,,,,,,
V100008320,mg/L,0.01675,,,,,,,,,,,,
V100008321,mg/L,0.01683,,,,,,,,,,,,
V100008322,mg/L,0.18764,,,,,,,,,,,,
V100008323,mg/L,0.009,mg/L,0.785,,,,,,,,,,
V100008324,mg/L,0.06425,,,,,,,,,,,,
V100008325,mg/L,0.01849,,,,,,,,,,,,
V100008326,mg/L,0.01824,,,,,,,,,,,,
V100008328,mg/L,0.02515,,,,,,,,,,,,
V100008329,mg/L,0.029,mg/L,1.331,,,,,,,,,,
V100008330,mg/L,0.13353,,,,,,,,,,,,
V100008331,mg/L,0.0245,,,,,,,,,,,,
V100008332,mg/L,0.01646,,,,,,,,,,,,
V100008333,mg/L,0.01667,,,,,,,,,,,,
V100008334,mg/L,0.01367,,,,,,,,,,,,
V100008335,mg/L,0.01433,,,,,,,,,,,,
V100008337,mg/L,0.028,mg/L,0.648,,,,,,,,,,
V100008338,,,mg/L,1.0505,,,,,,,,,,
V100008339,mg/L,0.1034,,,,,,,,,,,,
V100008340,mg/L,0.01633,,,,,,,,,,,,
V100008341,mg/L,0.05228,,,,,,,,,,,,
V100008342,mg/L,0.02145,,,,,,,,,,,,
V100008343,mg/L,0.069,,,,,,,,,,,,
V100008345,mg/L,0.036,,,,,,,,,,,,
V100008348,mg/L,0.034,,,,,,,,,,,,
V100008352,mg/L,0.03782,,,,,,,,,,,,
V100008353,mg/L,0.006,,,,,,,,,,,,
V100008354,mg/L,0.1611,,,,,,,,,,,,
V100008355,mg/L,0.01532,,,,,,,,,,,,
V100008356,mg/L,0.04092,,,,,,,,,,,,
V100008358,mg/L,0.014,,,,,,,,,,,,
V100008359,mg/L,0.02717,,,,,,,,,,,,
V100008360,mg/L,0.01696,,,,,,,,,,,,
V100008362,mg/L,0.01922,,,,,,,,,,,,
V100008363,mg/L,0.244,mg/L,3.16,,,,,,,,,,
V100008364,mg/L,0.084,mg/L,0.847,,,,,,,,,,
V100008365,mg/L,0.00767,,,,,,,,,,,,
V100008370,,,mg/L,0.51914,,,,,,,,,,
V100008371,mg/L,0.01933,,,,,,,,,,,,
V100008372,mg/L,0.06491,mg/L,1.00455,,,,,,,,,,
V100008373,mg/L,0.1215,mg/L,1.14833,,,,,,,,,,
V100008374,mg/L,0.013,,,,,,,,,,,,
V100008377,mg/L,0.00779,,,,,,,,,,,,
V100008378,mg/L,0.05203,,,,,,,,,,,,
V100008379,mg/L,0.347,,,,,,,,,,,,
V100008380,mg/L,0.01554,,,,,,,,,,,,
V100008381,mg/L,0.072,mg/L,1.464,,,,,,,,,,
V100008383,mg/L,0.141,,,,,,,,,,,,
V100008386,mg/L,0.02043,,,,,,,,,,,,
V100008388,mg/L,0.02407,,,,,,,,,,,,
V100008389,,,mg/L,0.849,,,,,,,,,,
V100008391,mg/L,0.015,,,,,,,,,,,,
V100008394,mg/L,0.013,,,,,,,,,,,,
V100008395,mg/L,0.063,,,,,,,,,,,,
V100008396,mg/L,0.06962,,,,,,,,,,,,
V100008398,mg/L,0.02328,,,,,,,,,,,,
V100008399,mg/L,0.01967,,,,,,,,,,,,
V100008403,mg/L,0.008,mg/L,0.785,,,,,,,,,,
V100008406,mg/L,0.01565,,,,,,,,,,,,
V100008408,mg/L,0.01513,,,,,,,,,,,,
V100008411,mg/L,0.20923,,,,,,,,,,,,
V100008413,mg/L,0.0095,,,,,,,,,,,,
V100008416,mg/L,0.018,,,,,,,,,,,,
V100008417,mg/L,0.0192,,,,,,,,,,,,
V100008419,mg/L,0.07252,,,,,,,,,,,,
V100008422,mg/L,0.031,mg/L,0.978,,,,,,,,,,
V100008424,mg/L,0.01717,,,,,,,,,,,,
V100008425,mg/L,0.0285,,,,,,,,,,,,
V100008427,mg/L,0.2615,,,,,,,,,,,,
V100008428,mg/L,0.01065,,,,,,,,,,,,
V100008429,mg/L,0.04067,mg/L,0.67556,,,,,,,,,,
V100008430,mg/L,0.086,,,,,,,,,,,,
V100008431,mg/L,0.038,,,,,,,,,,,,
V100008432,mg/L,0.04162,,,,,,,,,,,,
V100008433,mg/L,0.021,,,,,,,,,,,,
V100008434,mg/L,0.0145,,,,,,,,,,,,
V100008435,mg/L,0.029,,,,,,,,,,,,
V100008437,mg/L,0.0105,,,,,,,,,,,,
V100008438,mg/L,0.047,mg/L,1.96,,,,,,,,,,
V100008439,mg/L,0.01031,,,,,,,,,,,,
V100008440,mg/L,0.01616,,,,,,,,,,,,
V100008441,mg/L,0.02794,,,,,,,,,,,,
V100008443,mg/L,0.14293,,,,,,,,,,,,
V100008444,mg/L,0.0075,,,,,,,,,,,,
V100008445,mg/L,0.012,,,,,,,,,,,,
V100008446,mg/L,0.04891,,,,,,,,,,,,
V100008447,mg/L,0.0116,,,,,,,,,,,,
V100008448,mg/L,0.036,,,,,,,,,,,,
V100008449,mg/L,0.0272,,,,,,,,,,,,
V100008450,mg/L,0.38793,mg/L,0.987,,,,,,,,,,
V100008451,mg/L,0.08278,,,,,,,,,,,,
V100008452,mg/L,0.049,,,,,,,,,,,,
V100008455,mg/L,0.0195,,,,,,,,,,,,
V100008458,mg/L,0.18133,mg/L,2.04433,,,,,,,,,,
V100008461,mg/L,0.008,mg/L,0.302,,,,,,,,,,
V100008462,mg/L,0.0195,,,,,,,,,,,,
V100008465,mg/L,0.037,mg/L,0.498,,,,,,,,,,
V100008466,mg/L,0.059,mg/L,0.83667,,,,,,,,,,
V100008468,mg/L,0.036,,,,,,,,,,,,
V100008469,mg/L,0.006,mg/L,0.33,,,,,,,,,,
V100008470,mg/L,0.05867,,,,,,,,,,,,
V100008471,mg/L,0.03217,,,,,,,,,,,,
V100008472,mg/L,0.01315,,,,,,,,,,,,
V100008474,mg/L,0.01641,,,,,,,,,,,,
V100008475,mg/L,0.008,,,,,,,,,,,,
V100008476,mg/L,0.04181,,,,,,,,,,,,
V100008477,mg/L,0.01072,,,,,,,,,,,,
V100008478,mg/L,0.05267,,,,,,,,,,,,
V100008479,mg/L,0.06633,,,,,,,,,,,,
V100008480,mg/L,0.017,,,,,,,,,,,,
V100008481,mg/L,0.027,,,,,,,,,,,,
V100008483,mg/L,0.02723,,,,,,,,,,,,
V100008485,mg/L,0.01087,,,,,,,,,,,,
V100008486,mg/L,0.061,,,,,,,,,,,,
V100008487,mg/L,0.02929,,,,,,,,,,,,
V100008488,mg/L,0.0116,,,,,,,,,,,,
V100008489,mg/L,0.01,,,,,,,,,,,,
V100008490,mg/L,0.00678,,,,,,,,,,,,
V100008491,mg/L,0.01,,,,,,,mg/L,0.0081,,,,
V100008492,mg/L,0.07701,,,,,,,,,,,,
V100008493,mg/L,0.11943,,,,,,,,,,,,
V100008494,mg/L,0.005,mg/L,0.52,,,,,,,,,,
V100008495,mg/L,0.114,mg/L,1.18415,,,,,,,,,,
V100008496,mg/L,0.011,mg/L,0.575,,,,,,,,,,
V100008499,mg/L,0.01,,,,,,,,,,,,
V100008500,mg/L,0.14242,,,,,,,,,,,,
V100008501,mg/L,0.01621,,,,,,,,,,,,
V100008502,mg/L,0.05733,,,,,,,,,,,,
V100008503,mg/L,0.04175,,,,,,,,,,,,
V100008505,mg/L,0.0145,,,,,,,,,,,,
V100008506,mg/L,0.027,,,,,,,,,,,,
V100008507,mg/L,0.04501,,,,,,,,,,,,
V100008508,mg/L,0.07733,mg/L,0.709,,,,,,,,,,
V100008509,mg/L,0.01385,,,,,,,,,,,,
V100008511,mg/L,0.015,,,,,,,,,,,,
V100008513,mg/L,0.077,,,,,,,,,,,,
V100008514,mg/L,0.02088,,,,,,,,,,,,
V100008517,mg/L,0.02278,,,,,,,,,,,,
V100008521,mg/L,0.02069,,,,,,,,,,,,
V100008522,mg/L,0.00967,,,,,,,,,,,,
V100008524,mg/L,0.02304,,,,,,,,,,,,
V100008526,mg/L,0.03611,,,,,,,,,,,,
V100008527,mg/L,0.0145,,,,,,,,,,,,
V100008528,mg/L,0.17215,,,,,,,,,,,,
V100008532,mg/L,0.03311,,,,,,,,,,,,
V100008534,mg/L,0.01578,,,,,,,,,,,,
V100008535,mg/L,0.09846,,,,,,,,,,,,
V100008536,mg/L,0.021,,,,,,,,,,,,
V100008537,mg/L,0.0208,,,,,,,,,,,,
V100008538,mg/L,0.0125,,,,,,,,,,,,
V100008539,mg/L,0.02339,,,,,,,,,,,,
V100008540,mg/L,0.01663,,,,,,,,,,,,
V100008541,mg/L,0.015,mg/L,0.824,,,,,,,,,,
V100008542,mg/L,0.10954,,,,,,,,,,,,
V100008544,mg/L,0.11275,,,,,,,,,,,,
V100008546,mg/L,0.1595,,,,,,,,,,,,
V100008548,mg/L,0.14102,,,,,,,,,,,,
V100008549,mg/L,0.01196,,,,,,,,,,,,
V100008550,mg/L,0.013,,,,,,,,,,,,
V100008551,mg/L,0.02841,,,,,,,,,,,,
V100008552,mg/L,0.01696,,,,,,,,,,,,
V100008553,mg/L,0.00929,,,,,,,,,,,,
V100008554,mg/L,0.01208,,,,,,,,,,,,
V100008555,mg/L,0.01,,,,,,,,,,,,
V100008556,mg/L,0.01875,,,,,,,,,,,,
V100008558,mg/L,0.0148,,,,,,,,,,,,
V100008559,mg/L,0.011,,,,,,,,,,,,
V100008560,mg/L,0.033,,,,,,,,,,,,
V100008561,mg/L,0.01433,,,,,,,,,,,,
V100008562,mg/L,0.012,mg/L,0.575,,,,,,,,,,
V100008563,mg/L,0.01077,,,,,,,,,,,,
V100008564,mg/L,0.0648,,,,,,,,,,,,
V100008567,mg/L,0.02861,,,,,,,,,,,,
V100008568,mg/L,0.11021,,,,,,,,,,,,
V100008569,mg/L,0.01318,,,,,,,,,,,,
V100008574,mg/L,0.01189,,,,,,,,,,,,
V100008575,mg/L,0.16618,,,,,,,,,,,,
V100008576,mg/L,0.014,mg/L,0.482,,,,,,,,,,
V100008579,mg/L,0.01175,,,,,,,,,,,,
V100008580,mg/L,0.026,,,,,,,,,,,,
V100008581,mg/L,0.05554,,,,,,,,,,,,
V100008582,mg/L,0.02085,,,,,,,,,,,,
V100008583,mg/L,0.037,,,,,,,,,,,,
V100008584,mg/L,0.01787,,,,,,,,,,,,
V100008586,mg/L,0.007,mg/L,0.34143,,,,,,,,,,
V100008587,mg/L,0.0285,,,,,,,,,,,,
V100008589,mg/L,0.16042,,,,,,,,,,,,
V100008593,mg/L,0.02167,,,,,,,,,,,,
V100008594,mg/L,0.022,,,,,,,,,,,,
V100008596,mg/L,0.045,mg/L,0.874,,,,,,,,,,
V100008597,mg/L,0.12603,,,,,,,,,,,,
V100008598,,,mg/L,0.48865,,,,,,,,,,
V100008599,mg/L,0.11482,,,,,,,,,,,,
V100008600,mg/L,0.046,,,,,,,,,,,,
V100008601,mg/L,0.016,,,,,,,,,,,,
V100008602,mg/L,0.01913,,,,,,,,,,,,
V100008604,mg/L,0.056,mg/L,0.7363,,,,,,,,,,
V100008605,mg/L,0.01491,,,,,,,,,,,,
V100008607,mg/L,0.009,mg/L,0.689,,,,,,,,,,
V100008608,mg/L,0.03,,,,,,,,,,,,
V100008609,mg/L,0.20608,,,,,,,,,,,,
V100008610,mg/L,0.02515,,,,,,,,,,,,
V100008611,mg/L,0.009,,,,,,,,,,,,
V100008613,mg/L,0.027,mg/L,0.348,,,,,,,,,,
V100008614,mg/L,0.012,,,,,,,,,,,,
V100008615,mg/L,0.01375,,,,,,,,,,,,
V100008616,mg/L,0.03,,,,,,,mg/L,0.0063,,,,
V100008617,mg/L,0.14416,,,,,,,,,,,,
V100008618,mg/L,0.00994,,,,,,,,,,,,
V100008619,mg/L,0.05705,,,,,,,,,,,,
V100008620,mg/L,0.02871,,,,,,,,,,,,
V100008622,mg/L,0.04948,,,,,,,,,,,,
V100008623,mg/L,0.01038,,,,,,,,,,,,
V100008627,mg/L,0.01,,,,,,,,,,,,
V100008629,mg/L,0.133,mg/L,1.12,,,,,,,,,,
V100008630,mg/L,0.01333,,,,,,,,,,,,
V100008633,mg/L,0.135,,,,,,,,,,,,
V100008636,mg/L,0.055,mg/L,0.8331,,,,,,,,,,
V100008637,mg/L,0.033,,,,,,,,,,,,
V100008638,mg/L,0.0075,,,,,,,,,,,,
V100008639,mg/L,0.023,,,,,,,,,,,,
V100008640,mg/L,0.018,,,,,,,,,,,,
V100008643,mg/L,0.013,,,,,,,,,,,,
V100008645,,,mg/L,0.60722,,,,,,,,,,
V100008646,mg/L,0.305,mg/L,3.591,,,,,,,,,,
V100008648,mg/L,0.032,,,,,,,,,,,,
V100008649,mg/L,0.03267,,,,,,,,,,,,
V100008650,mg/L,0.087,,,,,,,,,,,,
V100008651,mg/L,0.02,,,,,,,,,,,,
V100008652,mg/L,0.01233,,,,,,,,,,,,
V100008653,mg/L,0.012,,,,,,,mg/L,0.004,,,,
V100008654,mg/L,0.049,,,,,,,,,,,,
V100008655,mg/L,0.03108,,,,,,,,,,,,
V100008656,mg/L,0.01794,,,,,,,,,,,,
V100008658,mg/L,0.13,,,,,,,,,,,,
V100008659,mg/L,0.09677,,,,,,,,,,,,
V100008661,mg/L,0.04396,,,,,,,,,,,,
V100008662,mg/L,0.04857,,,,,,,,,,,,
V100008664,mg/L,0.021,,,,,,,,,,,,
V100008666,mg/L,0.0265,,,,,,,,,,,,
V100008667,mg/L,0.17901,,,,,,,,,,,,
V100008671,mg/L,0.01256,,,,,,,,,,,,
V100008673,mg/L,0.0171,,,,,,,,,,,,
V100008676,mg/L,0.019,,,,,,,,,,,,
V100008678,mg/L,0.013,mg/L,0.256,,,,,,,,,,
V100008679,mg/L,0.014,,,,,,,,,,,,
V100008680,mg/L,0.08459,,,,,,,,,,,,
V100008681,mg/L,0.01333,,,,,,,,,,,,
V100008682,mg/L,0.04867,mg/L,1.01367,,,,,,,,,,
V100008683,mg/L,0.014,mg/L,0.349,,,,,,,,,,
V100008684,mg/L,0.04819,,,,,,,,,,,,
V100008685,mg/L,0.34429,,,,,,,,,,,,
V100008686,mg/L,0.08659,,,,,,,,,,,,
V100008687,mg/L,0.02702,,,,,,,,,,,,
V100008688,mg/L,0.01726,,,,,,,,,,,,
V100008692,mg/L,0.05217,,,,,,,,,,,,
V100008693,mg/L,0.043,mg/L,2.88,,,,,,,,,,
V100008694,,,mg/L,0.549,,,,,,,,,,
V100008695,mg/L,0.016,,,,,,,,,,,,
V100008696,mg/L,0.05733,,,,,,,,,,,,
V100008697,mg/L,0.32681,,,,,,,,,,,,
V100008698,mg/L,0.18333,,,,,,,,,,,,
V100008699,mg/L,0.04611,mg/L,0.86,,,,,,,,,,
V100008700,mg/L,0.0219,,,,,,,,,,,,
V100008702,mg/L,0.011,mg/L,0.59,,,,,,,,,,
V100008703,mg/L,0.022,,,,,,,,,,,,
V100008704,mg/L,0.01632,,,,,,,,,,,,
V100008705,mg/L,0.014,mg/L,2.03,,,,,,,,,,
V100008706,mg/L,0.022,mg/L,5.41,,,,,,,,,,
V100008707,mg/L,0.426,mg/L,1.469,,,,,,,,,,
V100008708,mg/L,0.015,,,,,,,,,,,,
V100008709,mg/L,0.123,,,,,,,,,,,,
V100008710,mg/L,0.02592,,,,,,,,,,,,
V100008711,mg/L,0.0155,,,,,,,,,,,,
V100008713,mg/L,0.025,mg/L,0.89475,,,,,,,,,,
V100008714,mg/L,0.045,mg/L,1.087,,,,,,,,,,
V100008715,mg/L,0.01596,,,,,,,,,,,,
V100008717,mg/L,0.01633,,,,,,,,,,,,
V100008718,,,mg/L,0.3543,,,,,,,,,,
V100008719,mg/L,0.01167,,,,,,,,,,,,
V100008720,mg/L,0.014,,,,,,,,,,,,
V100008722,mg/L,0.0208,,,,,,,,,,,,
V100008723,mg/L,0.01216,,,,,,,,,,,,
V100008724,mg/L,0.0095,,,,,,,,,,,,
V100008725,mg/L,0.02161,,,,,,,,,,,,
V100008726,mg/L,0.014,,,,,,,,,,,,
V100008727,mg/L,0.1174,,,,,,,,,,,,
V100008728,mg/L,0.01867,,,,,,,,,,,,
V100008729,mg/L,0.017,,,,,,,,,,,,
V100008730,mg/L,0.4343,,,,,,,,,,,,
V100008734,mg/L,0.057,mg/L,1.73,,,,,,,,,,
V100008737,mg/L,0.0235,,,,,,,,,,,,
V100008739,mg/L,0.0163,,,,,,,,,,,,
V100008742,mg/L,0.01514,,,,,,,,,,,,
V100008743,mg/L,0.022,,,,,,,,,,,,
V100008745,mg/L,0.01892,,,,,,,,,,,,
V100008746,mg/L,0.02175,,,,,,,,,,,,
V100008747,mg/L,0.01917,,,,,,,,,,,,
V100008748,mg/L,0.0215,,,,,,,,,,,,
V100008749,mg/L,0.03525,,,,,,,,,,,,
V100008750,mg/L,0.03941,mg/L,0.51455,,,,,,,,,,
V100008751,mg/L,0.01262,,,,,,,,,,,,
V100008752,mg/L,0.027,,,,,,,,,,,,
V100008754,mg/L,0.0692,,,,,,,,,,,,
V100008755,mg/L,0.02152,,,,,,,,,,,,
